season,week,team,rating,rank
2019,1,Alabama,1764.5,1
2019,1,Georgia,1763.9,2
2019,1,Ohio State,1741.9,3
2019,1,Notre Dame,1726.3,4
2019,1,LSU,1721.9,5
2019,1,Clemson,1717.9,6
2019,1,USC,1715.0,7
2019,1,Texas,1713.8,8
2019,1,Oklahoma,1711.1,9
2019,1,Auburn,1707.9,10
2019,1,Michigan,1700.5,11
2019,1,Florida,1699.4,12
2019,1,Texas A&M,1699.1,13
2019,1,Wisconsin,1690.4,14
2019,1,Penn State,1682.5,15
2019,1,Stanford,1681.2,16
2019,1,Mississippi State,1666.7,17
2019,1,Washington,1662.8,18
2019,1,Oklahoma State,1661.7,19
2019,1,Nebraska,1657.4,20
2019,1,Utah,1655.2,21
2019,1,North Carolina,1654.5,22
2019,1,Michigan State,1650.3,23
2019,1,NC State,1649.5,24
2019,1,Arizona State,1645.4,25
2019,1,Colorado,1644.1,26
2019,1,Virginia,1643.6,27
2019,1,Kentucky,1642.8,28
2019,1,Illinois,1642.2,29
2019,1,Florida State,1642.0,30
2019,1,Miami,1635.7,31
2019,1,Iowa,1633.2,32
2019,1,Oregon,1630.9,33
2019,1,Maryland,1630.9,34
2019,1,Arkansas,1629.4,35
2019,1,Syracuse,1627.3,36
2019,1,TCU,1625.7,37
2019,1,Indiana,1623.9,38
2019,1,Cincinnati,1623.5,39
2019,1,Boise State,1620.0,40
2019,1,Rutgers,1619.4,41
2019,1,Baylor,1618.3,42
2019,1,SMU,1617.1,43
2019,1,South Carolina,1614.7,44
2019,1,Tennessee,1612.9,45
2019,1,Boston College,1612.5,46
2019,1,Washington State,1611.5,47
2019,1,West Virginia,1606.0,48
2019,1,Memphis,1604.4,49
2019,1,Tulane,1601.4,50
2019,1,Minnesota,1600.0,51
2019,1,Ole Miss,1598.9,52
2019,1,California,1597.6,53
2019,1,UCLA,1596.5,54
2019,1,UCF,1595.4,55
2019,1,Wake Forest,1593.1,56
2019,1,Iowa State,1590.7,57
2019,1,Virginia Tech,1587.9,58
2019,1,Texas Tech,1587.4,59
2019,1,Kansas State,1576.1,60
2019,1,Kansas,1568.5,61
2019,1,Purdue,1568.4,62
2019,1,Northwestern,1567.2,63
2019,1,Missouri,1567.0,64
2019,1,Georgia State,1566.0,65
2019,1,Nevada,1565.5,66
2019,1,Hawai'i,1563.4,67
2019,1,Georgia Tech,1562.3,68
2019,1,Houston,1560.5,69
2019,1,San Diego State,1560.0,70
2019,1,Duke,1559.3,71
2019,1,Marshall,1558.4,72
2019,1,Temple,1558.4,73
2019,1,Wyoming,1557.0,74
2019,1,Louisville,1552.9,75
2019,1,UTSA,1551.7,76
2019,1,UNLV,1549.1,77
2019,1,Southern Miss,1546.7,78
2019,1,North Texas,1546.3,79
2019,1,Western Michigan,1545.7,80
2019,1,Arizona,1543.4,81
2019,1,Pittsburgh,1541.8,82
2019,1,Vanderbilt,1541.6,83
2019,1,Florida Atlantic,1540.2,84
