season,team,final_rating,rank
2019,Ohio State,2014.8,1
2019,LSU,1965.6,2
2019,Clemson,1941.4,3
2019,Oklahoma,1883.1,4
2019,Georgia,1867.2,5
2019,Alabama,1863.9,6
2019,Oregon,1859.1,7
2019,Wisconsin,1832.4,8
2019,Memphis,1830.2,9
2019,Penn State,1828.8,10
2019,Notre Dame,1826.7,11
2019,Florida,1819.7,12
2019,Michigan,1806.5,13
2019,Baylor,1799.5,14
2019,Utah,1796.8,15
2019,Auburn,1795.4,16
2019,Boise State,1784.4,17
2019,App State,1776.5,18
2019,USC,1758.5,19
2019,Iowa,1744.6,20
2019,UCF,1740.0,21
2019,SMU,1738.5,22
2019,Minnesota,1737.1,23
2019,Cincinnati,1723.7,24
2019,Washington,1723.4,25
2019,Navy,1721.7,26
2019,Florida Atlantic,1711.5,27
2019,Texas,1705.5,28
2019,Virginia,1699.9,29
2019,Air Force,1694.8,30
2019,Kansas State,1693.0,31
2019,Oklahoma State,1688.1,32
2019,Texas A&M,1686.7,33
2019,Virginia Tech,1686.2,34
2019,Iowa State,1681.3,35
2019,Tennessee,1678.1,36
2019,Louisiana,1677.4,37
2019,San Diego State,1663.6,38
2019,Kentucky,1657.1,39
2019,Indiana,1652.2,40
2019,Michigan State,1650.1,41
2019,Arizona State,1645.1,42
2019,Florida State,1637.0,43
2019,Western Kentucky,1635.6,44
2019,North Carolina,1633.0,45
2019,Wake Forest,1629.9,46
2019,Louisiana Tech,1622.5,47
2019,California,1619.1,48
2019,Boston College,1617.6,49
2019,Miami,1612.9,50
2019,Temple,1610.7,51
2019,Louisville,1607.9,52
2019,Hawai'i,1602.6,53
2019,TCU,1598.9,54
2019,Mississippi State,1598.0,55
2019,Washington State,1595.1,56
2019,Nebraska,1592.7,57
2019,BYU,1589.5,58
2019,Pittsburgh,1586.4,59
2019,Wyoming,1584.1,60
2019,Missouri,1581.6,61
2019,UAB,1580.7,62
2019,Southern Miss,1577.1,63
2019,Illinois,1575.3,64
2019,Marshall,1571.9,65
2019,Buffalo,1569.4,66
2019,Tulane,1567.9,67
2019,Central Michigan,1562.1,68
2019,Western Michigan,1561.5,69
2019,Ole Miss,1555.1,70
2019,Colorado,1554.1,71
2019,Oregon State,1550.8,72
2019,Syracuse,1549.0,73
2019,Utah State,1545.7,74
2019,Texas Tech,1545.6,75
2019,Georgia Southern,1543.4,76
2019,Duke,1543.2,77
2019,Arkansas State,1539.7,78
2019,West Virginia,1538.2,79
2019,Charlotte,1536.4,80
2019,Miami (OH),1532.0,81
2019,UCLA,1525.0,82
2019,South Carolina,1523.7,83
2019,Nevada,1522.8,84
2019,Houston,1517.2,85
2019,Purdue,1515.9,86
2019,Ohio,1512.0,87
2019,Stanford,1508.2,88
2019,Kent State,1506.3,89
2019,Florida International,1500.5,90
2019,Troy,1499.8,91
2019,Northwestern,1497.7,92
2019,Georgia State,1496.3,93
2019,Tulsa,1491.8,94
2019,Ball State,1483.5,95
2019,Liberty,1481.9,96
2019,Arizona,1480.5,97
2019,Eastern Michigan,1477.6,98
2019,South Florida,1473.8,99
2019,UL Monroe,1470.8,100
2019,Maryland,1464.7,101
2019,San José State,1463.1,102
2019,Fresno State,1456.0,103
2019,Toledo,1454.5,104
2019,Kansas,1453.9,105
2019,Army,1450.1,106
2019,Colorado State,1448.5,107
2019,Middle Tennessee,1448.3,108
2019,NC State,1443.0,109
2019,Coastal Carolina,1434.1,110
2019,Georgia Tech,1428.5,111
2019,North Texas,1420.5,112
2019,Northern Illinois,1417.6,113
2019,UNLV,1409.2,114
2019,Vanderbilt,1403.6,115
2019,Arkansas,1397.0,116
2019,Rice,1388.4,117
2019,East Carolina,1385.3,118
2019,Rutgers,1383.6,119
2019,UTSA,1377.3,120
2019,Texas State,1344.2,121
2019,South Alabama,1336.6,122
2019,UConn,1329.6,123
2019,New Mexico,1316.3,124
2019,Bowling Green,1307.8,125
2019,New Mexico State,1306.8,126
2019,Old Dominion,1286.3,127
2019,UTEP,1233.2,128
2019,Massachusetts,1195.1,129
2019,Akron,1163.7,130
2020,Alabama,1971.2,1
2020,Clemson,1925.9,2
2020,Ohio State,1912.6,3
2020,Notre Dame,1851.2,4
2020,Georgia,1830.6,5
