season,week,game_date,team,opponent,result,rating,rank
2019,1,2019-08-30,Wisconsin,South Florida,W 49-0,1581.0,1
2019,1,2019-08-31,Syracuse,Liberty,W 24-0,1566.7,2
2019,1,2019-08-31,Georgia,Vanderbilt,W 30-6,1566.7,3
2019,1,2019-08-31,Alabama,Duke,W 42-3,1566.4,4
2019,1,2019-08-30,Utah,BYU,W 30-12,1561.0,5
2019,1,2019-09-03,Notre Dame,Louisville,W 35-17,1561.0,6
2019,1,2019-08-31,Oklahoma State,Oregon State,W 52-36,1558.7,7
2019,1,2019-08-31,Virginia,Pittsburgh,W 30-14,1558.7,8
2019,1,2019-08-31,LSU,Georgia Southern,W 55-3,1556.6,9
2019,1,2019-09-01,Washington State,New Mexico State,W 58-7,1556.3,10
2019,1,2019-08-31,Colorado,Colorado State,W 52-31,1555.6,11
2019,1,2019-08-31,Illinois,Akron,W 42-3,1552.6,12
2019,1,2019-08-30,Clemson,Georgia Tech,W 52-14,1552.2,13
2019,1,2019-08-30,Texas A&M,Texas State,W 41-7,1550.7,14
2019,1,2019-09-01,Texas,Louisiana Tech,W 45-14,1549.4,15
2019,1,2019-08-30,Tulane,Florida International,W 42-14,1548.0,16
2019,1,2019-08-31,NC State,East Carolina,W 34-6,1548.0,17
2019,1,2019-08-30,Rutgers,Massachusetts,W 48-21,1547.5,18
2019,1,2019-08-31,Ohio State,Florida Atlantic,W 45-21,1545.9,19
2019,1,2019-08-31,Iowa,Miami (OH),W 38-14,1545.9,20
2019,1,2019-08-31,Georgia State,Tennessee,W 38-30,1545.5,21
2019,1,2019-08-30,Arizona State,Kent State,W 30-7,1545.3,22
2019,1,2019-08-30,Michigan State,Tulsa,W 28-7,1544.0,23
2019,1,2019-08-31,Indiana,Ball State,W 34-24,1543.2,24
2019,1,2019-08-31,Mississippi State,Louisiana,W 38-28,1543.2,25
2019,1,2019-08-31,Eastern Michigan,Coastal Carolina,W 30-23,1543.1,26
2019,1,2019-08-31,SMU,Arkansas State,W 37-30,1543.1,27
2019,1,2019-08-31,Michigan,Middle Tennessee,W 40-21,1542.7,28
2019,1,2019-09-01,Oklahoma,Houston,W 49-31,1542.0,29
2019,1,2019-08-31,Kentucky,Toledo,W 38-24,1538.6,30
2019,1,2019-08-31,Nebraska,South Alabama,W 35-21,1538.6,31
2019,1,2019-08-31,Boise State,Florida State,W 36-31,1537.1,32
2019,1,2019-08-31,Auburn,Oregon,W 27-21,1535.0,33
2019,1,2019-08-29,Cincinnati,UCLA,W 24-14,1534.2,34
2019,1,2019-08-31,Stanford,Northwestern,W 17-7,1534.2,35
2019,1,2019-09-01,USC,Fresno State,W 31-23,1531.3,36
2019,1,2019-08-25,Hawai'i,Arizona,W 45-38,1529.6,37
2019,1,2019-08-30,Army,Rice,W 14-7,1529.6,38
2019,1,2019-08-31,Boston College,Virginia Tech,W 35-28,1529.6,39
2019,1,2019-08-24,Florida,Miami,W 24-20,1529.0,40
2019,1,2019-08-31,North Carolina,South Carolina,W 24-20,1529.0,41
2019,1,2019-08-31,Wyoming,Missouri,W 37-31,1527.7,42
2019,1,2019-08-31,Memphis,Ole Miss,W 15-10,1525.5,43
2019,1,2019-08-31,Wake Forest,Utah State,W 38-35,1519.8,44
2019,1,2019-08-31,Nevada,Purdue,W 34-31,1519.8,45
2019,1,2019-08-31,Maryland,Howard,W 79-0,1511.2,46
2019,1,2019-08-31,Penn State,Idaho,W 79-7,1510.9,47
2019,1,2019-08-29,UCF,Florida A&M,W 62-0,1510.5,48
2019,1,2019-08-31,Temple,Bucknell,W 56-12,1509.7,49
2019,1,2019-08-29,Bowling Green,Morgan State,W 46-3,1509.6,50
2019,1,2019-08-31,Marshall,VMI,W 56-17,1509.4,51
2019,1,2019-08-31,Baylor,Stephen F. Austin,W 56-17,1509.4,52
2019,1,2019-08-31,Navy,Holy Cross,W 45-7,1509.3,53
2019,1,2019-08-31,App State,East Tennessee State,W 42-7,1509.1,54
2019,1,2019-08-31,Texas Tech,Montana State,W 45-10,1509.1,55
2019,1,2019-08-31,Western Michigan,Monmouth,W 48-13,1509.1,56
2019,1,2019-08-31,Kansas State,Nicholls,W 49-14,1509.1,57
2019,1,2019-08-31,Washington,Eastern Washington,W 47-14,1509.0,58
2019,1,2019-09-01,UNLV,Southern Utah,W 56-23,1509.0,59
2019,1,2019-09-01,TCU,Arkansas-Pine Bluff,W 39-7,1508.9,60
2019,1,2019-08-31,Troy,Campbell,W 43-14,1508.7,61
2019,1,2019-08-29,Buffalo,Robert Morris,W 38-10,1508.6,62
2019,1,2019-08-31,UTSA,Incarnate Word,W 35-7,1508.6,63
2019,1,2019-08-31,Southern Miss,Alcorn State,W 38-10,1508.6,64
2019,1,2019-09-01,UL Monroe,Grambling,W 31-9,1508.0,65
2019,1,2019-08-29,Charlotte,Gardner-Webb,W 49-28,1507.9,66
2019,1,2019-08-31,Ohio,Rhode Island,W 41-20,1507.9,67
2019,1,2019-08-31,North Texas,Abilene Christian,W 51-31,1507.7,68
2019,1,2019-08-30,Central Michigan,UAlbany,W 38-21,1507.4,69
2019,1,2019-08-30,San José State,Northern Colorado,W 35-18,1507.4,70
2019,1,2019-08-31,California,UC Davis,W 27-13,1506.9,71
2019,1,2019-08-31,Northern Illinois,Illinois State,W 24-10,1506.9,72
2019,1,2019-08-31,Air Force,Colgate,W 48-7,1506.6,73
2019,1,2019-08-31,New Mexico,Sam Houston,W 39-31,1505.6,74
2019,1,2019-08-30,Minnesota,South Dakota State,W 28-21,1505.3,75
2019,1,2019-08-31,Kansas,Indiana State,W 24-17,1505.3,76
2019,1,2019-08-31,West Virginia,James Madison,W 20-13,1505.3,77
2019,1,2019-08-31,Arkansas,Portland State,W 20-13,1505.3,78
2019,1,2019-09-01,San Diego State,Weber State,W 6-0,1505.0,79
2019,1,2019-08-30,UAB,Alabama State,W 24-19,1504.6,80
2019,1,2019-08-29,UConn,Wagner,W 24-21,1503.5,81
2019,1,2019-08-31,Iowa State,Northern Iowa,W 29-26,1503.5,82
2019,1,2019-08-31,Old Dominion,Norfolk State,W 24-21,1503.5,83
2019,1,2019-09-01,UTEP,Houston Christian,W 36-34,1502.8,84
2019,1,2019-08-31,Utah State,Wake Forest,L 35-38,1480.2,85
2019,1,2019-08-31,Purdue,Nevada,L 31-34,1480.2,86
2019,1,2019-08-31,Ole Miss,Memphis,L 10-15,1474.5,87
2019,1,2019-08-31,Missouri,Wyoming,L 31-37,1472.3,88
2019,1,2019-08-24,Miami,Florida,L 20-24,1471.0,89
2019,1,2019-08-31,South Carolina,North Carolina,L 20-24,1471.0,90
2019,1,2019-08-25,Arizona,Hawai'i,L 38-45,1470.4,91
2019,1,2019-08-30,Rice,Army,L 7-14,1470.4,92
2019,1,2019-08-31,Virginia Tech,Boston College,L 28-35,1470.4,93
2019,1,2019-09-01,Fresno State,USC,L 23-31,1468.7,94
2019,1,2019-08-29,UCLA,Cincinnati,L 14-24,1465.8,95
2019,1,2019-08-31,Northwestern,Stanford,L 7-17,1465.8,96
2019,1,2019-08-31,Oregon,Auburn,L 21-27,1465.0,97
2019,1,2019-08-31,Florida State,Boise State,L 31-36,1462.9,98
2019,1,2019-08-31,Toledo,Kentucky,L 24-38,1461.4,99
2019,1,2019-08-31,South Alabama,Nebraska,L 21-35,1461.4,100
2019,1,2019-09-01,Houston,Oklahoma,L 31-49,1458.0,101
2019,1,2019-08-31,Middle Tennessee,Michigan,L 21-40,1457.3,102
2019,1,2019-08-31,Coastal Carolina,Eastern Michigan,L 23-30,1456.9,103
2019,1,2019-08-31,Arkansas State,SMU,L 30-37,1456.9,104
2019,1,2019-08-31,Ball State,Indiana,L 24-34,1456.8,105
2019,1,2019-08-31,Louisiana,Mississippi State,L 28-38,1456.8,106
2019,1,2019-08-30,Tulsa,Michigan State,L 7-28,1456.0,107
2019,1,2019-08-30,Kent State,Arizona State,L 7-30,1454.7,108
2019,1,2019-08-31,Tennessee,Georgia State,L 30-38,1454.5,109
2019,1,2019-08-31,Florida Atlantic,Ohio State,L 21-45,1454.1,110
2019,1,2019-08-31,Miami (OH),Iowa,L 14-38,1454.1,111
2019,1,2019-08-30,Massachusetts,Rutgers,L 21-48,1452.5,112
2019,1,2019-08-30,Florida International,Tulane,L 14-42,1452.0,113
2019,1,2019-08-31,East Carolina,NC State,L 6-34,1452.0,114
2019,1,2019-09-01,Louisiana Tech,Texas,L 14-45,1450.6,115
2019,1,2019-08-30,Texas State,Texas A&M,L 7-41,1449.3,116
2019,1,2019-08-30,Georgia Tech,Clemson,L 14-52,1447.8,117
2019,1,2019-08-31,Akron,Illinois,L 3-42,1447.4,118
2019,1,2019-08-31,Colorado State,Colorado,L 31-52,1444.4,119
2019,1,2019-09-01,New Mexico State,Washington State,L 7-58,1443.7,120
2019,1,2019-08-31,Georgia Southern,LSU,L 3-55,1443.4,121
2019,1,2019-08-29,Western Kentucky,Central Arkansas,L 28-35,1442.3,122
2019,1,2019-08-31,Oregon State,Oklahoma State,L 36-52,1441.3,123
2019,1,2019-08-31,Pittsburgh,Virginia,L 14-30,1441.3,124
2019,1,2019-08-30,BYU,Utah,L 12-30,1439.0,125
2019,1,2019-09-03,Louisville,Notre Dame,L 17-35,1439.0,126
2019,1,2019-08-31,Duke,Alabama,L 3-42,1433.6,127
2019,1,2019-08-31,Liberty,Syracuse,L 0-24,1433.3,128
2019,1,2019-08-31,Vanderbilt,Georgia,L 6-30,1433.3,129
2019,1,2019-08-30,South Florida,Wisconsin,L 0-49,1419.0,130
2019,2,2019-09-07,Wisconsin,Central Michigan,W 61-0,1624.4,1
2019,2,2019-09-07,Alabama,New Mexico State,W 62-10,1599.8,2
2019,2,2019-09-07,LSU,Texas,W 45-38,1599.1,3
2019,2,2019-09-07,Ohio State,Cincinnati,W 42-0,1597.1,4
2019,2,2019-09-07,Iowa,Rutgers,W 30-0,1595.1,5
2019,2,2019-09-07,Utah,Northern Illinois,W 35-17,1594.7,6
2019,2,2019-09-07,Illinois,UConn,W 31-23,1593.6,7
2019,2,2019-09-07,Clemson,Texas A&M,W 24-10,1590.6,8
2019,2,2019-09-07,Michigan State,Western Michigan,W 51-17,1588.1,9
2019,2,2019-09-07,Kentucky,Eastern Michigan,W 38-17,1583.4,10
2019,2,2019-09-07,Mississippi State,Southern Miss,W 38-15,1582.6,11
2019,2,2019-09-07,SMU,North Texas,W 49-27,1581.9,12
2019,2,2019-09-07,Auburn,Tulane,W 24-6,1579.1,13
2019,2,2019-09-08,USC,Stanford,W 45-20,1578.3,14
2019,2,2019-09-07,Maryland,Syracuse,W 63-20,1577.1,15
2019,2,2019-09-07,Wake Forest,Rice,W 41-21,1576.6,16
2019,2,2019-09-07,UCF,Florida Atlantic,W 48-14,1575.9,17
2019,2,2019-09-07,Georgia,Murray State,W 63-17,1575.7,18
2019,2,2019-09-07,Colorado,Nebraska,W 34-31,1574.1,19
2019,2,2019-09-07,Wyoming,Texas State,W 23-14,1567.8,20
2019,2,2019-09-07,Virginia,William & Mary,W 52-17,1566.8,21
2019,2,2019-09-07,Oklahoma State,McNeese,W 56-14,1566.7,22
2019,2,2019-09-07,Kansas State,Bowling Green,W 52-0,1565.8,23
2019,2,2019-09-07,Baylor,UTSA,W 63-14,1565.0,24
2019,2,2019-09-07,Boise State,Marshall,W 14-7,1563.7,25
2019,2,2019-09-07,Washington State,Northern Colorado,W 59-17,1563.0,26
2019,2,2019-09-07,Michigan,Army,W 24-21,1561.5,27
2019,2,2019-09-07,Penn State,Buffalo,W 45-13,1560.3,28
2019,2,2019-09-08,Texas Tech,UTEP,W 38-3,1558.9,29
2019,2,2019-09-07,NC State,Western Carolina,W 41-0,1552.9,30
2019,2,2019-09-07,Arizona State,Sacramento State,W 19-7,1552.3,31
2019,2,2019-09-07,Georgia State,Furman,W 48-42,1550.6,32
2019,2,2019-09-07,UAB,Akron,W 31-20,1550.1,33
2019,2,2019-09-07,Indiana,Eastern Illinois,W 52-0,1549.5,34
2019,2,2019-09-07,San Diego State,UCLA,W 23-14,1549.0,35
2019,2,2019-09-07,App State,Charlotte,W 56-41,1548.4,36
2019,2,2019-09-07,Oklahoma,South Dakota,W 70-14,1547.8,37
2019,2,2019-09-08,North Carolina,Miami,W 28-25,1544.6,38
2019,2,2019-09-08,Hawai'i,Oregon State,W 31-28,1543.3,39
2019,2,2019-09-07,Florida,UT Martin,W 45-0,1539.6,40
2019,2,2019-09-07,Oregon,Nevada,W 77-6,1539.3,41
2019,2,2019-09-07,Boston College,Richmond,W 45-13,1539.2,42
2019,2,2019-09-07,Memphis,Southern,W 55-24,1532.0,43
2019,2,2019-09-08,Minnesota,Fresno State,W 38-35,1531.9,44
2019,2,2019-09-08,Arkansas State,UNLV,W 43-17,1531.5,45
2019,2,2019-09-07,Missouri,West Virginia,W 38-7,1528.1,46
