year,team,talent
2025,Georgia,1002.98
2025,Alabama,993.55
2025,Ohio State,973.69
2025,Texas,973.54
2025,Oregon,941.22
2025,LSU,920.05
2025,Clemson,918.43
2025,Texas A&M,917.29
2025,Notre Dame,912.11
2025,Penn State,910.42
2025,Michigan,907.22
2025,Florida,898.58
2025,Auburn,891.84
2025,Oklahoma,882.59
2025,Miami,874.57
2025,Tennessee,866.57
2025,USC,847.53
2025,South Carolina,833.26
2025,Florida State,828.45
2025,Nebraska,821.39
2025,Ole Miss,813.11
2025,Missouri,804.77
2025,Arkansas,772.64
2025,Mississippi State,770.48
2025,SMU,766.67
2025,UCLA,766.62
2025,Kentucky,763.18
2025,Wisconsin,763.17
2025,Texas Tech,757.49
2025,Colorado,755.2
2025,North Carolina,753.2
2025,TCU,745.01
2025,Arizona State,738.52
2025,Syracuse,727.83
2025,Baylor,726.3
2025,California,726.21
2025,Washington,720.56
2025,Michigan State,717.42
2025,Georgia Tech,715.56
2025,Virginia Tech,712.19
2025,Minnesota,711.04
2025,Iowa,710
2025,UCF,709.99
2025,Utah,707.86
2025,NC State,707.51
2025,Stanford,707.27
2025,Kansas State,705.85
2025,Kansas,705.32
2025,Oklahoma State,702.74
2025,Louisville,700.77
2025,UNLV,700.54
2025,Maryland,699.31
2025,Rutgers,689.22
2025,Purdue,687.74
2025,Vanderbilt,685.42
2025,Pittsburgh,681.21
2025,Northwestern,677.97
2025,Duke,669.18
2025,Memphis,668.63
2025,Oregon State,667.99
2025,South Florida,666.89
2025,Virginia,666.74
2025,West Virginia,662.33
2025,Illinois,662.13
2025,UTSA,662.09
2025,Houston,656.74
2025,Arizona,651.62
2025,Tulane,650.87
2025,Boston College,650.12
2025,BYU,649.36
2025,Iowa State,648.93
2025,Indiana,645.34
2025,Cincinnati,644.1
2025,Wake Forest,627.16
2025,Toledo,620.13
2025,Texas State,612.16
2025,Georgia State,611.97
2025,East Carolina,611.55
2025,App State,611.31
2025,Coastal Carolina,610.88
2025,Boise State,610.65
2025,Florida Atlantic,605.22
2025,Southern Miss,602.53
2025,Liberty,599.12
2025,Tulsa,594.78
2025,San Diego State,594.27
2025,Miami (OH),592.1
2025,Arkansas State,591.27
2025,Marshall,590.64
2025,Fresno State,586.84
2025,Louisiana,585.82
2025,Colorado State,583.71
2025,Georgia Southern,574.48
2025,Eastern Michigan,572.9
2025,Washington State,569.46
2025,North Texas,569.15
2025,UConn,568.12
2025,Florida International,562.61
2025,Troy,561.87
2025,Western Kentucky,561.36
2025,UTEP,551.88
2025,South Alabama,544.87
2025,UAB,540.93
2025,Akron,537.21
2025,Western Michigan,534.35
2025,Rice,530.06
2025,Bowling Green,527.31
2025,Charlotte,526.3
2025,San José State,522.91
2025,Middle Tennessee,520.55
2025,Jacksonville State,519.93
2025,Buffalo,513.33
2025,Temple,507.91
2025,Utah State,503.59
2025,Ball State,495.35
2025,Louisiana Tech,493.5
2025,Wyoming,489.33
2025,Massachusetts,488.73
2025,Nevada,488.69
2025,Hawai'i,481.2
2025,Central Michigan,481.16
2025,Old Dominion,477.45
2025,Sam Houston,477.35
2025,UL Monroe,473.34
2025,Northern Illinois,471.01
2025,Ohio,469.99
2025,James Madison,459.53
2025,Kent State,456.24
2025,Missouri State,426.1
2025,New Mexico State,402.9
2025,New Mexico,378.8
2025,Kennesaw State,338.87
2025,Delaware,242.85
2025,Army,23.66
